OrderID,OrderDate,Year,Month,Quarter,CustomerID,SalespersonID,Region,Country,ProductCategory,ProductName,Quantity,UnitPrice_USD,SubTotal_USD,DiscountRate,DiscountAmt_USD,TaxRate,TaxAmt_USD,ShippingCost_USD,TotalAmount_USD,ProfitMargin,Profit_USD,PaymentMethod,ShippingMethod,DeliveryDays,ReturnFlag,CustomerRating
ORD000001,2024-10-13,2024,10,Q4,CUST00422,SP034,North Africa,Ethiopia,Furniture,Standing Desk,4,341.25,1365.0,0.0,0.0,0.16,218.4,12.53,1583.4,0.4078,645.71,Mobile Money,Same Day,6,No,2.0
ORD000002,2023-03-02,2023,3,Q1,CUST00504,SP007,East Africa,Uganda,Clothing,Sneakers,4,95.81,383.23,0.1,38.32,0.16,55.19,10.07,400.1,0.0939,37.57,Mobile Money,Economy,11,No,1.4
ORD000003,2024-09-11,2024,9,Q3,CUST00445,SP025,Middle East,Kenya,Furniture,Standing Desk,15,409.69,6145.3,0.1,614.53,0.16,884.92,13.53,6415.69,0.2093,1342.8,Bank Transfer,Express,6,No,3.5
ORD000004,2023-11-09,2023,11,Q4,CUST00392,SP005,West Africa,Uganda,Sports,Bicycle,18,188.52,3393.39,0.05,169.67,0.16,515.8,18.94,3739.52,0.2265,847.0,Mobile Money,Economy,6,No,4.4
ORD000005,2023-04-26,2023,4,Q2,CUST01165,SP030,North Africa,UAE,Sports,Bicycle,14,172.37,2413.2,0.1,241.32,0.16,347.5,21.27,2519.38,0.4087,1029.67,Cash,Economy,11,No,2.1
ORD000006,2022-01-06,2022,1,Q1,CUST00399,SP020,East Africa,Nigeria,Electronics,Laptop,16,356.92,5710.65,0.15,856.6,0.16,776.65,4.29,5630.7,0.3384,1905.43,Credit Card,Same Day,7,No,2.2
ORD000007,2022-01-27,2022,1,Q1,CUST00745,SP001,Europe,Germany,Groceries,Coffee Pack,15,9.04,135.62,0.1,13.56,0.16,19.53,3.49,141.59,0.398,56.35,Cash,Economy,12,Yes,4.6
ORD000008,2022-07-02,2022,7,Q3,CUST00949,SP016,West Africa,Tanzania,Clothing,Formal Shirt,19,38.75,736.3,0.1,73.63,0.16,106.03,9.83,768.7,0.126,96.86,Credit Card,Economy,12,No,1.4
ORD000009,2022-08-15,2022,8,Q3,CUST01123,SP015,North Africa,Egypt,Furniture,Office Chair,3,147.24,441.73,0.1,44.17,0.16,63.61,2.9,461.17,0.0884,40.77,Mobile Money,Standard,9,Yes,1.4
ORD000010,2024-10-08,2024,10,Q4,CUST00837,SP029,East Africa,UAE,Electronics,Headphones,10,58.12,581.23,0.1,58.12,0.16,83.7,13.38,606.81,0.4102,248.91,Installment,Express,13,No,4.1
ORD000011,2022-11-02,2022,11,Q4,CUST00768,SP025,West Africa,Ethiopia,Clothing,Sneakers,14,83.65,1171.05,0.05,58.55,0.16,178.0,20.95,1290.5,0.1925,248.42,Installment,Standard,6,No,2.0
ORD000012,2022-07-04,2022,7,Q3,CUST00629,SP013,West Africa,Ghana,Clothing,Formal Shirt,3,31.41,94.23,0.15,14.13,0.16,12.82,10.0,92.92,0.3034,28.19,Mobile Money,Standard,8,No,3.1
ORD000013,2024-11-13,2024,11,Q4,CUST00438,SP015,Middle East,South Africa,Groceries,Sugar 1kg,18,1.89,34.08,0.2,6.82,0.16,4.36,12.94,31.62,0.1334,4.22,Installment,Same Day,9,No,2.8
ORD000014,2022-06-03,2022,6,Q2,CUST00805,SP033,West Africa,Kenya,Beauty,Shampoo,20,9.18,183.55,0.1,18.36,0.16,26.43,15.21,191.62,0.2681,51.37,Credit Card,Same Day,5,No,3.2
ORD000015,2022-07-27,2022,7,Q3,CUST00290,SP035,Europe,Tanzania,Sports,Football,2,20.28,40.56,0.2,8.11,0.16,5.19,23.01,37.64,0.4,15.06,Installment,Express,10,No,1.3
ORD000016,2023-06-09,2023,6,Q2,CUST00964,SP006,West Africa,South Africa,Clothing,T-Shirt,20,15.96,319.22,0.1,31.92,0.16,45.97,23.31,333.27,0.3189,106.28,Credit Card,Same Day,5,No,2.5
ORD000017,2023-04-19,2023,4,Q2,CUST00223,SP033,East Africa,Kenya,Furniture,Coffee Table,19,115.02,2185.3,0.05,109.27,0.16,332.16,16.53,2408.19,0.2336,562.55,Mobile Money,Economy,8,No,3.6
ORD000018,2024-07-24,2024,7,Q3,CUST01112,SP031,East Africa,Uganda,Sports,Yoga Mat,18,24.6,442.71,0.05,22.14,0.16,67.29,2.23,487.86,0.3936,192.02,Mobile Money,Same Day,5,No,1.9
ORD000019,2023-08-30,2023,8,Q3,CUST00927,SP037,West Africa,Tanzania,Clothing,T-Shirt,1,13.08,13.08,0.1,1.31,0.16,1.88,6.36,13.65,0.1228,1.68,Installment,Standard,14,Yes,1.6
ORD000020,2023-06-25,2023,6,Q2,CUST00616,SP003,Europe,Nigeria,Groceries,Tea Bags,15,6.46,96.94,0.2,19.39,0.16,12.41,6.64,89.96,0.2396,21.55,Cash,Standard,3,No,2.8
ORD000021,2024-08-08,2024,8,Q3,CUST00845,SP014,East Africa,Germany,Electronics,Monitor,2,204.95,409.9,0.1,40.99,0.16,59.03,15.78,427.94,0.2748,117.6,Bank Transfer,Economy,5,No,4.8
ORD000022,2022-04-13,2022,4,Q2,CUST00105,SP001,East Africa,Germany,Furniture,Coffee Table,16,103.76,1660.09,0.05,83.0,0.16,252.33,18.27,1829.42,0.0846,154.77,Installment,Same Day,14,No,4.8
ORD000023,2022-07-24,2022,7,Q3,CUST00409,SP034,West Africa,Kenya,Clothing,Dress,17,56.47,959.93,0.0,0.0,0.16,153.59,4.05,1113.52,0.0861,95.87,Mobile Money,Express,5,No,4.4
ORD000024,2022-12-24,2022,12,Q4,CUST00445,SP040,North Africa,Uganda,Furniture,Coffee Table,14,112.97,1581.59,0.1,158.16,0.16,227.75,8.66,1651.18,0.2902,479.17,Mobile Money,Express,13,No,2.0
ORD000025,2022-03-22,2022,3,Q1,CUST00692,SP030,North Africa,South Africa,Sports,Running Shoes,14,63.09,883.32,0.1,88.33,0.16,127.2,13.66,922.19,0.3025,278.96,Mobile Money,Express,3,No,3.8
